domain,actual_layer,kv_head,mpc,redundant_fraction
ppl03L_technical,7,4,0.731044,0.996212
ppl03L_technical,7,5,0.323132,0.996212
ppl03L_technical,7,6,0.356099,0.996212
ppl03L_technical,7,7,0.652463,0.996212
ppl03L_technical,8,0,0.318158,0.996212
ppl03L_technical,8,1,0.748048,0.996212
ppl03L_technical,8,2,0.428768,0.996212
ppl03L_technical,8,3,0.343318,0.996212
ppl03L_technical,8,4,0.464116,0.996212
ppl03L_technical,8,5,0.380519,0.996212
ppl03L_technical,8,6,0.508288,0.996212
ppl03L_technical,8,7,0.348492,0.996212
ppl03L_technical,9,0,0.628620,0.996212
ppl03L_technical,9,1,0.595605,0.996212
ppl03L_technical,9,2,0.579675,0.996212
ppl03L_technical,9,3,0.777637,0.996212
ppl03L_technical,9,4,0.413785,0.996212
ppl03L_technical,9,5,0.730017,0.996212
ppl03L_technical,9,6,0.232344,0.996212
ppl03L_technical,9,7,0.752314,0.996212
ppl03L_technical,10,0,0.502709,0.996212
ppl03L_technical,10,1,0.661287,0.996212
ppl03L_technical,10,2,0.664615,0.996212
ppl03L_technical,10,3,0.394598,0.996212
ppl03L_technical,10,4,0.603612,0.996212
ppl03L_technical,10,5,0.673127,0.996212
ppl03L_technical,10,6,0.360342,0.996212
ppl03L_technical,10,7,0.457084,0.996212
ppl03L_technical,11,0,0.773969,0.996212
ppl03L_technical,11,1,0.342190,0.996212
ppl03L_technical,11,2,0.482428,0.996212
ppl03L_technical,11,3,0.306394,0.996212
ppl03L_technical,11,4,0.318631,0.996212
ppl03L_technical,11,5,0.294350,0.996212
ppl03L_technical,11,6,0.322398,0.996212
ppl03L_technical,11,7,0.692519,0.996212
ppl03L_technical,12,0,0.403858,0.996212
ppl03L_technical,12,1,0.708232,0.996212
ppl03L_technical,12,2,0.333770,0.996212
ppl03L_technical,12,3,0.696871,0.996212
ppl03L_technical,12,4,0.346866,0.996212
ppl03L_technical,12,5,0.334491,0.996212
ppl03L_technical,12,6,0.370383,0.996212
ppl03L_technical,12,7,0.597545,0.996212
ppl03L_technical,13,0,0.482088,0.996212
ppl03L_technical,13,1,0.362273,0.996212
ppl03L_technical,13,2,0.698060,0.996212
ppl03L_technical,13,3,0.396422,0.996212
ppl03L_technical,13,4,0.668188,0.996212
ppl03L_technical,13,5,0.530293,0.996212
ppl03L_technical,13,6,0.760977,0.996212
ppl03L_technical,13,7,0.412345,0.996212
ppl03L_technical,14,0,0.470835,0.996212
ppl03L_technical,14,1,0.305745,0.996212
ppl03L_technical,14,2,0.640594,0.996212
ppl03L_technical,14,3,0.530766,0.996212
ppl03L_technical,14,4,0.722261,0.996212
ppl03L_technical,14,5,0.634222,0.996212
ppl03L_technical,14,6,0.560960,0.996212
ppl03L_technical,14,7,0.731929,0.996212
ppl03L_technical,15,0,0.293936,0.996212
ppl03L_technical,15,1,0.460175,0.996212
ppl03L_technical,15,2,0.761957,0.996212
ppl03L_technical,15,3,0.584165,0.996212
ppl03L_technical,15,4,0.481097,0.996212
ppl03L_technical,15,5,0.644539,0.996212
ppl03L_technical,15,6,0.641718,0.996212
ppl03L_technical,15,7,0.753345,0.996212
ppl04L_conversational,0,0,0.599104,0.996212
ppl04L_conversational,0,1,0.559171,0.996212
ppl04L_conversational,0,2,0.297142,0.996212
ppl04L_conversational,0,3,0.516201,0.996212
ppl04L_conversational,0,4,0.368387,0.996212
ppl04L_conversational,0,5,0.295213,0.996212
ppl04L_conversational,0,6,0.570904,0.996212
ppl04L_conversational,0,7,0.256172,0.996212
ppl04L_conversational,1,0,0.607203,1.000000
ppl04L_conversational,1,1,0.522760,1.000000
ppl04L_conversational,1,2,0.412675,1.000000
ppl04L_conversational,1,3,0.444967,1.000000
ppl04L_conversational,1,4,0.399732,1.000000
ppl04L_conversational,1,5,0.444524,1.000000
ppl04L_conversational,1,6,0.451065,0.996212
ppl04L_conversational,1,7,0.309054,1.000000
ppl04L_conversational,2,0,0.310997,0.996212
ppl04L_conversational,2,1,0.737049,0.996212
ppl04L_conversational,2,2,0.587689,0.996212
ppl04L_conversational,2,3,0.593120,0.996212
ppl04L_conversational,2,4,0.302263,0.996212
ppl04L_conversational,2,5,0.590086,0.996212
ppl04L_conversational,2,6,0.464970,0.996212
ppl04L_conversational,2,7,0.434670,0.996212
ppl04L_conversational,3,0,0.576069,0.996212
ppl04L_conversational,3,1,0.352155,0.996212
ppl04L_conversational,3,2,0.470625,0.996212
ppl04L_conversational,3,3,0.386793,0.996212
ppl04L_conversational,3,4,0.658487,0.996212
ppl04L_conversational,3,5,0.766075,0.996212
ppl04L_conversational,3,6,0.275487,0.996212
ppl04L_conversational,3,7,0.345469,0.996212
ppl04L_conversational,4,0,0.285879,0.996212
ppl04L_conversational,4,1,0.226505,0.996212
ppl04L_conversational,4,2,0.755357,0.996212
ppl04L_conversational,4,3,0.413357,0.996212
ppl04L_conversational,4,4,0.512926,0.996212
ppl04L_conversational,4,5,0.587160,0.996212
ppl04L_conversational,4,6,0.464459,0.996212
ppl04L_conversational,4,7,0.269344,0.996212
ppl04L_conversational,5,0,0.699771,0.996212
ppl04L_conversational,5,1,0.634886,0.996212
ppl04L_conversational,5,2,0.438302,0.996212
ppl04L_conversational,5,3,0.386855,0.996212
ppl04L_conversational,5,4,0.261146,0.996212
ppl04L_conversational,5,5,0.403012,0.996212
ppl04L_conversational,5,6,0.891683,0.996212
ppl04L_conversational,5,7,0.372886,0.996212
ppl04L_conversational,6,0,0.315193,0.996212
ppl04L_conversational,6,1,0.179951,0.996212
ppl04L_conversational,6,2,0.480816,0.996212
ppl04L_conversational,6,3,0.738707,0.996212
ppl04L_conversational,6,4,0.671286,0.996212
ppl04L_conversational,6,5,0.690500,0.996212
ppl04L_conversational,6,6,0.318924,0.996212
ppl04L_conversational,6,7,0.648956,0.996212
ppl04L_conversational,7,0,0.236425,0.996212
ppl04L_conversational,7,1,0.415871,0.996212
ppl04L_conversational,7,2,0.379774,0.996212
ppl04L_conversational,7,3,0.386355,0.996212
ppl04L_conversational,7,4,0.723185,0.996212
ppl04L_conversational,7,5,0.322043,0.996212
ppl04L_conversational,7,6,0.359224,0.996212
ppl04L_conversational,7,7,0.658772,0.996212
ppl04L_conversational,8,0,0.302330,0.996212
ppl04L_conversational,8,1,0.719290,0.996212
ppl04L_conversational,8,2,0.417471,0.996212
ppl04L_conversational,8,3,0.288560,0.996212
ppl04L_conversational,8,4,0.443214,0.996212
ppl04L_conversational,8,5,0.345309,0.996212
ppl04L_conversational,8,6,0.509623,0.996212
ppl04L_conversational,8,7,0.350054,0.996212
ppl04L_conversational,9,0,0.643929,0.996212
ppl04L_conversational,9,1,0.547458,0.996212
ppl04L_conversational,9,2,0.590431,0.996212
ppl04L_conversational,9,3,0.779476,0.996212
ppl04L_conversational,9,4,0.386742,0.996212
ppl04L_conversational,9,5,0.732859,0.996212
ppl04L_conversational,9,6,0.222752,0.996212
ppl04L_conversational,9,7,0.752140,0.996212
ppl04L_conversational,10,0,0.455486,0.996212
ppl04L_conversational,10,1,0.659410,0.996212
ppl04L_conversational,10,2,0.715000,0.996212
ppl04L_conversational,10,3,0.380677,0.996212
ppl04L_conversational,10,4,0.594582,0.996212
ppl04L_conversational,10,5,0.635293,0.996212
ppl04L_conversational,10,6,0.338950,0.996212
ppl04L_conversational,10,7,0.473111,0.996212
ppl04L_conversational,11,0,0.788255,0.996212
ppl04L_conversational,11,1,0.344598,0.996212
ppl04L_conversational,11,2,0.467081,0.996212
ppl04L_conversational,11,3,0.291281,0.996212
ppl04L_conversational,11,4,0.312818,0.996212
ppl04L_conversational,11,5,0.270881,0.996212
ppl04L_conversational,11,6,0.343434,0.996212
ppl04L_conversational,11,7,0.672142,0.996212
ppl04L_conversational,12,0,0.400946,0.996212
ppl04L_conversational,12,1,0.719429,0.996212
ppl04L_conversational,12,2,0.335244,0.996212
ppl04L_conversational,12,3,0.696597,0.996212
ppl04L_conversational,12,4,0.354484,0.996212
ppl04L_conversational,12,5,0.323333,0.996212
ppl04L_conversational,12,6,0.362615,0.996212
ppl04L_conversational,12,7,0.587889,0.996212
ppl04L_conversational,13,0,0.450601,0.996212
ppl04L_conversational,13,1,0.336129,0.996212
ppl04L_conversational,13,2,0.715247,0.996212
ppl04L_conversational,13,3,0.376296,0.996212
ppl04L_conversational,13,4,0.675587,0.996212
ppl04L_conversational,13,5,0.512609,0.996212
ppl04L_conversational,13,6,0.762674,0.996212
ppl04L_conversational,13,7,0.362052,0.996212
ppl04L_conversational,14,0,0.460788,0.996212
ppl04L_conversational,14,1,0.277450,0.996212
ppl04L_conversational,14,2,0.639881,0.996212
ppl04L_conversational,14,3,0.496538,0.996212
ppl04L_conversational,14,4,0.707076,0.996212
ppl04L_conversational,14,5,0.636123,0.996212
ppl04L_conversational,14,6,0.532721,0.996212
ppl04L_conversational,14,7,0.720932,0.996212
ppl04L_conversational,15,0,0.290384,0.996212
ppl04L_conversational,15,1,0.415718,0.996212
ppl04L_conversational,15,2,0.771674,0.996212
ppl04L_conversational,15,3,0.591922,0.996212
ppl04L_conversational,15,4,0.463108,0.996212
ppl04L_conversational,15,5,0.671841,0.996212
ppl04L_conversational,15,6,0.634769,0.996212
ppl04L_conversational,15,7,0.744332,0.996212
ppl05L_news,0,0,0.593397,0.996212
ppl05L_news,0,1,0.550998,0.996212
ppl05L_news,0,2,0.272854,0.996212
ppl05L_news,0,3,0.484023,0.996212
ppl05L_news,0,4,0.368457,0.996212
ppl05L_news,0,5,0.305378,0.996212
ppl05L_news,0,6,0.563093,0.996212
ppl05L_news,0,7,0.267327,0.996212
ppl05L_news,1,0,0.607811,1.000000
ppl05L_news,1,1,0.515333,1.000000
ppl05L_news,1,2,0.408032,1.000000
ppl05L_news,1,3,0.428860,1.000000
ppl05L_news,1,4,0.397697,1.000000
ppl05L_news,1,5,0.435854,1.000000
ppl05L_news,1,6,0.448081,0.996212
ppl05L_news,1,7,0.309128,1.000000
ppl05L_news,2,0,0.333590,0.996212
ppl05L_news,2,1,0.737012,0.996212
ppl05L_news,2,2,0.598321,0.996212
ppl05L_news,2,3,0.607478,0.996212
ppl05L_news,2,4,0.280932,0.996212
ppl05L_news,2,5,0.607701,0.996212
ppl05L_news,2,6,0.464743,0.996212
ppl05L_news,2,7,0.441052,0.996212
ppl05L_news,3,0,0.572772,0.996212
ppl05L_news,3,1,0.354768,0.996212
ppl05L_news,3,2,0.468408,0.996212
ppl05L_news,3,3,0.382606,0.996212
ppl05L_news,3,4,0.662270,0.996212
ppl05L_news,3,5,0.769793,0.996212
ppl05L_news,3,6,0.277236,0.996212
ppl05L_news,3,7,0.339465,0.996212
ppl05L_news,4,0,0.309808,0.996212
ppl05L_news,4,1,0.219535,0.996212
ppl05L_news,4,2,0.738008,0.996212
ppl05L_news,4,3,0.413809,0.996212
ppl05L_news,4,4,0.505189,0.996212
ppl05L_news,4,5,0.574178,0.996212
ppl05L_news,4,6,0.472131,0.996212
ppl05L_news,4,7,0.282085,0.996212
ppl05L_news,5,0,0.704538,0.996212
ppl05L_news,5,1,0.652502,0.996212
ppl05L_news,5,2,0.439055,0.996212
ppl05L_news,5,3,0.393266,0.996212
ppl05L_news,5,4,0.267299,0.996212
ppl05L_news,5,5,0.426761,0.996212
ppl05L_news,5,6,0.898365,0.996212
ppl05L_news,5,7,0.363270,0.996212
ppl05L_news,6,0,0.309469,0.996212
ppl05L_news,6,1,0.187843,0.996212
ppl05L_news,6,2,0.468895,0.996212
ppl05L_news,6,3,0.731113,0.996212
ppl05L_news,6,4,0.640036,0.996212
ppl05L_news,6,5,0.677676,0.996212
ppl05L_news,6,6,0.291606,0.996212
ppl05L_news,6,7,0.619485,0.996212
ppl05L_news,7,0,0.237736,0.996212
ppl05L_news,7,1,0.428337,0.996212
ppl05L_news,7,2,0.350156,0.996212
ppl05L_news,7,3,0.407667,0.996212
ppl05L_news,7,4,0.726277,0.996212
ppl05L_news,7,5,0.292864,0.996212
ppl05L_news,7,6,0.330597,0.996212
ppl05L_news,7,7,0.651022,0.996212
ppl05L_news,8,0,0.287118,0.996212
ppl05L_news,8,1,0.736320,0.996212
ppl05L_news,8,2,0.416835,0.996212
ppl05L_news,8,3,0.278916,0.996212
ppl05L_news,8,4,0.444059,0.996212
ppl05L_news,8,5,0.323591,0.996212
ppl05L_news,8,6,0.521623,0.996212
ppl05L_news,8,7,0.352483,0.996212
ppl05L_news,9,0,0.638684,0.996212
ppl05L_news,9,1,0.563381,0.996212
ppl05L_news,9,2,0.575637,0.996212
ppl05L_news,9,3,0.766014,0.996212
ppl05L_news,9,4,0.394655,0.996212
ppl05L_news,9,5,0.738354,0.996212
ppl05L_news,9,6,0.228126,0.996212
ppl05L_news,9,7,0.733032,0.996212
ppl05L_news,10,0,0.477674,0.996212
ppl05L_news,10,1,0.654977,0.996212
ppl05L_news,10,2,0.706773,0.996212
ppl05L_news,10,3,0.375693,0.996212
ppl05L_news,10,4,0.597797,0.996212
ppl05L_news,10,5,0.641833,0.996212
ppl05L_news,10,6,0.340087,0.996212
ppl05L_news,10,7,0.393989,0.996212
ppl05L_news,11,0,0.786481,0.996212
ppl05L_news,11,1,0.340454,0.996212
ppl05L_news,11,2,0.463221,0.996212
ppl05L_news,11,3,0.304081,0.996212
ppl05L_news,11,4,0.309394,0.996212
ppl05L_news,11,5,0.260164,0.996212
ppl05L_news,11,6,0.332020,0.996212
ppl05L_news,11,7,0.666774,0.996212
ppl05L_news,12,0,0.386847,0.996212
ppl05L_news,12,1,0.716072,0.996212
ppl05L_news,12,2,0.318520,0.996212
ppl05L_news,12,3,0.676048,0.996212
ppl05L_news,12,4,0.346134,0.996212
ppl05L_news,12,5,0.323194,0.996212
ppl05L_news,12,6,0.351157,0.996212
ppl05L_news,12,7,0.591480,0.996212
ppl05L_news,13,0,0.441399,0.996212
ppl05L_news,13,1,0.337090,0.996212
ppl05L_news,13,2,0.699003,0.996212
ppl05L_news,13,3,0.395487,0.996212
ppl05L_news,13,4,0.642772,0.996212
ppl05L_news,13,5,0.491904,0.996212
ppl05L_news,13,6,0.757562,0.996212
ppl05L_news,13,7,0.371515,0.996212
ppl05L_news,14,0,0.415925,0.996212
ppl05L_news,14,1,0.288491,0.996212
ppl05L_news,14,2,0.628293,0.996212
ppl05L_news,14,3,0.437438,0.996212
ppl05L_news,14,4,0.739383,0.996212
ppl05L_news,14,5,0.627546,0.996212
ppl05L_news,14,6,0.516758,0.996212
ppl05L_news,14,7,0.704428,0.996212
ppl05L_news,15,0,0.297108,0.996212
ppl05L_news,15,1,0.424044,0.996212
ppl05L_news,15,2,0.759765,0.996212
ppl05L_news,15,3,0.591159,0.996212
ppl05L_news,15,4,0.456143,0.996212
ppl05L_news,15,5,0.640548,0.996212
ppl05L_news,15,6,0.649069,0.996212
ppl05L_news,15,7,0.735504,0.996212
